route_variant_name,route_name,directionid,routevarianttypeid,route,route_variant_number,contractid,operator_name,regionname,route_distance,email,mobilephone,homephone,workphone,address,st_length(shape)
Lake Haven Centre to Lake Haven Centre,Lake Haven - Blue Haven - Chain Valley Bay,In,Regular,98,98-1,OSMBSC011,Coastal Liner,OSMBSC Contract 11,13685.96,,,,,,16403.10029909398
Bankstown Central - Roselands,Bankstown Central - Canterbury Station,In,Regular,487,487-101,SBSC006,Transit Systems West,SBSC Contract 6,9.08,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",10954.199992076345
Coffs Harbour Schools and Orara High to Ulong via Coramba Rd,Ulong to Coffs Harbour Schools via Coramba Rd,Out,School,S987,S987-2,C0756,PA & TJ Beaumont Pty Ltd,RRPBC C0756,72.21,tammibeaumont@bigpond.com,0428 652 877,,,"110 Mount Browne Road, UPPER ORARA, NSW, 2450",83692.30962092229
Coffs Harbour PS to Combine/Azalea,School Service,Out,School,S362,S362-19110,L0817,Busways,RRBSC L0817,22.62,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",26222.686204990285
Lake Haven Shops to Roper/Land Haven,Wyong & Blue Haven/Chain Valley Bay via Lake Haven,In,Regular,98,98-202,OMBSC006,Busways OMR6,OMBSC Contract 6,11.8,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",14130.953879404646
Rutherford Oval to Greenhills Stockland,Thornton to Rutherford,In,Regular,182,182-208,OSMBSC002,CDC Hunter Valley,OSMBSC Contract 2,12.64,jodie.mallia@cdcbus.com.au,0411196865,0249895204,,"6 Glenwood Drive, THORNTON, NSW, 2322",15063.235517087138
Lloyd to Turvey Park Primary,Lloyd to Turvey Park Primary,In,School,S101,S101-1,L0326,Busabout Wagga,RRBSC L0326,10.65,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",13043.80997740115
Ballina to East Ballina Loop,Ballina to East Ballina Loop,In,Regular,669,669-6,M0823,Ballina Buslines,RRBSC M0823,17.1,info@buslinesgroup.com.au,02 9747 7000,,,"1 Burwood Rd, BURWOOD, NSW, 2134",19532.98946783168
Woy Woy Stn to Woolworths (West St),WoyWoy & Umina via Ocean Beach Rd,In,Regular,50,50-114,OMBSC006,Busways OMR6,OMBSC Contract 6,9.32,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",11211.819198401952
Stuart Hwy Maude to Hay Schools,Stuart Hwy Maude to Hay Schools,In,School,S541,S541-1,P0224,Dysons Buslines,RRPBC P0224,62.37,emaidment@dysongroup.com.au,0439 116 398,,,"89 MCCrabb Road, DENILIQUIN, NSW, 2710",75777.37629237892
Duck Bus - Cumnock to Molong Schools,Duck Bus - Cumnock to Molong Schools,In,School,S421,S421-1,V0265,Orange Buslines,RRBSC V0265,100.87,info@buslinesgroup.com.au,0407 885 636,,,"1 Burwood Rd, BURWOOD, NSW, 2134",120689.94283952595
Mount Austin Primary to Ashmont,Mount Austin Primary to Ashmont,Out,School,S128,S128-1,L0326,Busabout Wagga,RRBSC L0326,12.19,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",14919.807538161502
Sydenham Station: Stand C to Bankstown Station: Restwell St,Bankstown to Sydenham TTP,Out,Planned Replacement,SW2,SW2-101,PRBTTP02,U-Go Mobility,,14.78,Leanne.frederiksen@u-gomobility.com,0411018331,,,,17831.481651514332
102 - Basin View to Bomaderry via Vincentia Nowra-Outbound,102 - Basin View to Bomaderry via Vincentia Nowra-Outbound,Out,Regular,102,102-22,M0309,Nowra Coaches,RRBSC M0309,69.76,johnk@premierms.com.au,02 4423 5244,0413168800,02 4423 5244,"10 Investigator Street, NOWRA, NSW, 2541",85319.59212293677
Pacific Dr/Swift to Westport HS,School Service,In,School,S471,S471-96068,L0822,Busways,RRBSC L0822,9.65,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",11339.095088092134
Coleambally Schools to Bull Rd via Four Corners Rd & Hannabus Rd,Hannabus Rd & Four Corners Rd to Coleambally Schools via Bull Rd,Out,School,S407,S407-2,C0405,C & J Robertson P/L,RRPBC C0405,56.16,jul-77@live.com,0488 551 375,,,"83 Spence Road, GRIFFITH, NSW, 2680",68518.90495469508
Wauchope PS (Waugh St) to Yippin Creek Rd/Rose,School Service,Out,School,S533,S533-94084,L0822,Busways,RRBSC L0822,2.31,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",2712.5279433736373
Uki Public to Stokers Siding via Smiths Creek,Stokers Siding to Uki Public via Smiths Creek,Out,School,S211,S211-2,C0622,Gosels Bus Service,RRPBC C0622,33.99,gbuses@outlook.com,0427 149 689,02 66779394,,,38600.70012038855
Westfield Penrith to Westfield Penrith,Penrith - Leonay,In,Regular,689,689-99,OSMBSC008,Blue Mountains Trans,OSMBSC Contract 8,21.72,jodie.mallia@cdcbus.com.au,0411 196 865,,,"25 Great Western Highway, VALLEY HEIGHTS, NSW, 2777",26180.934631758726
The Riverina Anglican College to Kooringal,The Riverina Anglican College to Kooringal,Out,School,S102,S102-1,L0326,Busabout Wagga,RRBSC L0326,21.28,depot.manager@busaboutwagga.com.au,0429 300 063,02 4631 4200,0259426600,"264 Hammond Avenue, EAST WAGGA WAGGA, NSW, 2650",26078.015125659356
Rouse Hill Stn to Blacktown Station,Rouse Hill to Blacktown via Stanhope Gardens,In,Regular,731,731-8,GSBC001,Busways R1,GSBC Contract 1,11.56,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",13945.671189410417
Blacktown Station to Kings Langley Shops,Blacktown - Kings Park & Kings Langley,Out,Regular,743,743-40,GSBC001,Busways R1,GSBC Contract 1,9.27,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",11168.08764684407
Strathfield Station (Nth Side) - Concord Hospital,Top Ryde Shopping Centre - Burwood Westfield,Out,Regular,458,458-65,SBSC006,Transit Systems West,SBSC Contract 6,4.62,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",5588.593347043088
Warrah to Quirindi Schools via Warrah Ridge,Warrah to Quirindi Schools via Warrah Ridge,Out,School,S720,S720-1,C0412,Howards Bus,RRPBC C0412,39.42,office@howardsbus.com.au,0428 401 502,02 6546 6178,02 6546 6178,"73 Boyd St, MURRURUNDI, NSW, 2338",46354.33133295572
Bondi to Helensburgh,Eastern Suburbs Illawarra Line,In,Free Shuttle,99T4,99T4-4,OSMBSC004,Emergency Buses,OSMBSC Contract 4,76.48,,,,,,92489.09798112902
Keajura to Tarcutta via Kyeamba,Keajura to Tarcutta via Kyeamba,In,School,S255,S255-2,C0837,Andersons Buses Pty Ltd,RRPBC C0837,43.54,andobrad24@gmail.com,0447174455,,,,53478.34342381333
"Railway Square Stand K - Green Sqare, Zetland Ave",Green Square to Gore Hill via Central,In,Regular,320,320-3,SBSC006,Transit Systems West,SBSC Contract 6,4.5600000000000005,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",5503.858548135572
Blacktown Station to Mt Druitt Station,Blacktown - Mt Druitt,Out,Regular,729,729-19,GSBC001,Busways R1,GSBC Contract 1,16.93,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",20415.503147531886
Mt Druitt Station to Luxford/Kidd,Mt Druitt - Blacktown via Carlisle Avenue,In,Regular,750,750-68,GSBC001,Busways R1,GSBC Contract 1,5.8,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",6996.132439352214
Rockdale Stn (Railway St) - Kingsgrove Depot,Drummoyne - Rockdale,In,Regular,492,492-199,SBSC006,Transit Systems West,SBSC Contract 6,5.61,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",6775.16147394654
Kangaroo Valley to Nowra via Cambewarra & Bomaderry,Kangaroo Valley to Nowra via Cambewarra & Bomaderry,Out,Regular,112,112-15,C0253,Kennedy's Bus,RRPBC C0253,25.58,sales@kennedystours.com.au,0411 232101,4421 7596,,"7 Flinders Road, SOUTH NOWRA, NSW, 2541",31208.591794947755
Springwood Station to Westfield Penrith,Springwood- Penrith,In,Regular,690P,690P-203,OSMBSC008,Blue Mountains Trans,OSMBSC Contract 8,23.42,jodie.mallia@cdcbus.com.au,0411 196 865,,,"25 Great Western Highway, VALLEY HEIGHTS, NSW, 2777",28238.79489268083
Cowper/Gidley to Booral PS,School Service,In,School,S629,S629-6260,M0821,Busways,RRBSC M0821,36.59,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",43440.27623161798
"Wyong Rd at Birramal Rd to Chatswood Station, Stand C",Duffys Forest to Terrey Hills and Chatswood,In,Regular,284,284-4,GSBC014,CDC NSW R14,GSBC Contract 14,22.17,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",26731.62266294322
Cooma (Loop Service),Cooma (Loop Service),In,Regular,870,870-4,C0271,Cooma Coaches,RRPBC C0271,30.56,gferris@coomacoaches.com.au,0418 214 135,02 6452 4841,02 6452 4841,"7 Holland Road Polo Flat, COOMA, NSW, 2630",37918.37353980563
"Liverpool Stn, Std D - Cowpasture Rd Opp 155",Liverpool to Carnes Hill Marketplace via Cowpastur,Out,Regular,851,851-65,GSBC002,Transit Systems NSW SW,GSBC Contract 2,15.15,hfraser@transitsystems.com.au,0482 189 107,02 9123 8630,,"49 Percival Road, SMITHFIELD, NSW, 2164",18293.198123590784
Blacktown Station to Blacktown Station,Blacktown - Prospect Loop via Flushcombe Rd,In,Regular,722,722-49,GSBC001,Busways R1,GSBC Contract 1,12.83,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",15478.699252093984
Chatswood Station to Lindfield Station,Lindfield to Chatswood,In,Regular,558,558-46,GSBC014,CDC NSW R14,GSBC Contract 14,10.75,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",12956.940226779463
High St  after Sunderland St to Stocklands Jesmond,Toronto West to Newcastle University and Industries,Out,Regular,270,270-154,OSMBSC004,CDC Hunter Valley,OSMBSC Contract 4,25.12,jodie.mallia@cdcbus.com.au,0411196865,0249895204,,"6 Glenwood Drive, THORNTON, NSW, 2322",30006.806794318138
Caroline Chisholm HS to Parker/Oxford,School Service,Out,School,4630,4630-61031,GSBC001,Busways R1,GSBC Contract 1,13.5,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",16275.61630642341
Pile/PacHwy to Gosford Stn,Gosford & West Gosford/Somersby Industrial Areas,In,Regular,33,33-22,OMBSC006,Busways OMR6,OMBSC Contract 6,15.9,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",19090.994204295344
Mt Druitt Station to Penrith Stn,Mt Druitt to Penrith via Erskine Park,In,Regular,775,775-93,GSBC001,Busways R1,GSBC Contract 1,27.45,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",33092.16892079749
Mount Warrigal - Lake Illawarra South PS,Henricks Pde af Mackenzie Ave to Lake Illawarra South PS ,In,School,S158,S158-1,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,6.38,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",7759.22562797963
Ryan St Interchange to Clarence Valley Angl,School Service,In,School,S663,S663-11098,L0816,Busways,RRBSC L0816,4.61,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",5308.128145638726
"Liverpool Stn, Std F - Bonnyrigg T-Way Stn - To Pa",Liverpool to Parramatta via Abbotsbury,In,Regular,806,806-4,GSBC003,Transit Systems NSW,GSBC Contract 3,7.86,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",9482.900494079655
Lake Haven Centre to Warnervale Station,Lake Haven - Tuggerah,In,Regular,11,11-16,OSMBSC011,Coastal Liner,OSMBSC Contract 11,8140.79,,,,,,9748.027836396506
The Bogan Way to Trundle Schools via Numalla Rd,The Bogan Way to Trundle Schools via Numalla Rd,In,School,S671,S671-3,C0852,T Deaman & S Horkings Pty Ltd,RRPBC C0852,51.86,stefandtroy@bigpond.com,0499 550 082,0499 550 082,0499 550 082,,61880.445501985705
Erin Vale to Junee Schools via Pikedale Rd,Erin Vale to Junee Schools via Pikedale Rd,In,School,S224,S224-21,C0416,Junee Buses,RRPBC C0416,51.19,david@juneebuses.com.au,0438 943 183,,02 6924 2244,"218 Main Street, JUNEE, NSW, 2663",62443.01847094198
Uralla Town to Uralla Schools,Uralla Town to Uralla Schools,Out,School,S334,S334-4,C0250,Edwards Coaches,RRPBC C0250,10.21,james@edwardscoaches.com.au,02 6772 3116,02 6772 3116,02 6772 3116,"2 Drew Street, ARMIDALE, NSW, 2350",11886.233493939886
"Anderson Av At Pritchard St - Cabramatta Stn, Rail",Cabramatta to Mount Pritchard (Loop Service),Loop,Regular,815,815-2,GSBC003,Transit Systems NSW,GSBC Contract 3,5.96,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",7194.1524540441405
Iluka Rd/Adams (LIZARD LANE) to St Joseph's Primary,School Service,In,School,S710,S710-75092,L0816,Busways,RRBSC L0816,31.18,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",35800.17830744345
Hippo Bus - Orange Schools to Millthorpe Public via Lucknow & Spring Hill,Hippo Bus - Orange Schools to Millthorpe Public via Lucknow & Spring Hill,Out,School,S449,S449-1,M0305,Orange Buslines,RRBSC M0305,45.22,info@buslinesgroup.com.au,0407 885 636,,,"1 Burwood Rd, BURWOOD, NSW, 2134",54268.47875501704
Gerringong to Sussex via Nowra & Berry,Sussex to Gerringong via Nowra & Berry,Out,School,S503,S503-2,P0206,Shoalbus,RRPBC P0206,48.41,info@shoalbus.com.au,0410349370,02 4423 2122,(02) 4423 2122,"12 Concorde Way, BOMADERRY, NSW, 2541",59258.27645344691
Prince St (NAB) to St Mary's Primary,School Service,In,School,S695,S695-77113,L0816,Busways,RRBSC L0816,3.2800000000000002,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",3780.6268594987764
Prince St (Market Sq) to Spring/Skinner,Grafton - Sth Grafton via Fairway Dr,In,Regular,373,373-23,L0816,Busways,RRBSC L0816,14.65,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",16885.239178411153
Prince/Lee to Chatham HS & St Clar,Bulahdelah - Taree - Bulahdelah,In,Regular,154,154-23,M0821,Busways,RRBSC M0821,81.89,michael.hasking@busways.com.au,0438 537 969,02 9497 1880,02 9497 1829,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",97010.17724997606
Glen Innes Schools to Glencoe & Grahams Valley,Glencoe & Grahams Valley to Glen Innes Schools,Out,School,S534,S534-2,C0312,Glen Innes Bus Services,RRPBC C0312,43.83,info@gleninnesbusservices.com.au,0437 001 521,,,"9905 New England Highway, GLEN INNES, NSW, 2370",50662.11281734576
St Philips Christian to George Downes/Walker,School Service,Out,School,2503,2503-66117,OMBSC006,Busways OMR6,OMBSC Contract 6,51.95,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",62359.97121675503
St Mary Star of the Sea - Flinders,Shellharbour Rd bf Cove Bvd to St Marys College via Oak Flats ,Out,School,S210,S210-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,34.53,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",41993.373453726614
"Parramatta Stn, Std B1 - Waldron Rd opp Chester Hi",Hurstville to Parramatta via Chester Hill and Pads,Out,Regular,M91,M91-195,GSBC003,Transit Systems NSW,GSBC Contract 3,9.63,asingh@transitsystems.com.au,0498006941,02 87785800,,"49 -57 Percival rd, SMITHFIELD, NSW, 2164",11635.216257910724
Springwood/River to Windsor Stn,School Service,In,School,5054,5054-64033,GSBC001,Busways R1,GSBC Contract 1,39.85,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",47984.3785023725
Limbri to Moonbi PS via Kootingal,Limbri to Moonbi PS via Kootingal,Out,School,S217,S217-2,C0707,Macphersons Tamworth,RRPBC C0707,31.94,archie@maccoaches.com.au,0402 350 108,02 6760 7190,02 6760 7190,"282 Gunnedah Road, TAMWORTH, NSW, 2340",37343.50677790587
Narrabeen - Pittwater Rd (in) to Mona Vale Junction,Bayview Garden Village to Frenchs Forest,Out,Regular,155,155-73,GSBC008,KD Northern Beaches,GSBC Contract 8,4.95,kdnb.customerservice@keolisdowner.com.au,0448 324 844,,,"630-636 Pittwater Road, BROOKVALE, NSW, 2100",5975.647393308593
Windsor Marketplace (Kable St) to Penrith Stn,Windsor to Penrith via Llandilo & Cranebrook,In,Regular,673,673-48,GSBC001,Busways R1,GSBC Contract 1,28.36,infoline@busways.com.au,0294971800,,,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",34163.32890298037
"Chatham Schools to Harrington via Taree, Cundletown & Coopernook","Harrington to Chatham Schools via Coopernook, Cundletown & Taree",Out,School,S766,S766-2,P0200,Eggins Coaches,RRPBC P0200,44.34,info@egginscomfortcoaches.com.au,0427 522 702,0265 522700,02 6552 2700 ,"2 Elizabeth Avenue, TAREE, NSW, 2430",52306.2301329522
Narromine to Tomingley to Tomingley Rd,Tomingley to Narromine via Tomingley Rd,Out,School,S627,S627-2,C0617,Geographical Computi,RRPBC C0617,62.39,tony@geographicalcomputing.com.au,0427 891 182,0268891182,0427891182,"8 Crossley Drive, NARROMINE, NSW, 2821",74142.56297883861
Epping Station - Beecroft Rd to Parramatta Station,Parramatta to Epping via North Rocks Rd,Out,Regular,549,549-129,GSBC007,Busways North West,GSBC Contract 7,14.31,michael.hasking@busways.com.au,0438537969,02 94971800,02 94971876,"Level 1, 5 Bridge Street, PYMBLE, NSW, 2073",17251.385495224255
Eagle Bus - Paytens Bridge to Forbes Schools via Wandary Lane,Eagle Bus - Paytens Bridge to Forbes Schools via Wandary Lane,In,School,S447,S447-2,P0226,Forbes Buslines,RRPBC P0226,54.99,hennocks@bigpond.com,0419 424 320,,,"131 Wambat Street, FORBES, NSW, 2871",65984.0251033923
Zebra Bus - Tamworth to North Tamworth via East Tamworth,Zebra Bus - Tamworth to North Tamworth via East Tamworth,Out,School,S150,S150-1,M0812,Tamworth Buslines,RRBSC M0812,7.95,info@buslinegroup.com.au,0418214135,,,"21 Hume Street, TAMWORTH, NSW, 2340",9295.367696265055
Dragonfly Bus - Murray Rd & Wingham Schools to Central Park via Abbotts Falls Rd,Dragonfly Bus - Murray Rd & Wingham Schools to Central Park via Abbotts Falls Rd,Out,School,S461,S461-2,V0820,Wingham Buslines,RRBSC V0820,27.63,info@buslinesgroup.com.au,0418214135,,,"1 Burwood Rd,, BURWOOD, NSW, 2134",32591.60490724733
Calderwood Christian College - Albion Park,Terry St at Wiley St to Tongara College ,Out,School,S128,S128-2,OSMBSC010,Premier Illawarra,OSMBSC Contract 10,6.07,compliance10@premierillawarra.com.au,0437 229 577,02 42711322,02 42711322,"13 - 23 Investigator Drive, UNANDERRA, NSW, 2526",7381.880555239836
"Berrara to Bomaderry Station via Sussex Inlet, Tomerong & Nowra","Berrara to Bomaderry Station via Sussex Inlet, Tomerong & Nowra",In,Regular,135,135-12,P0206,Shoalbus,RRPBC P0206,63.59,info@shoalbus.com.au,0410349370,02 4423 2122,(02) 4423 2122,"12 Concorde Way, BOMADERRY, NSW, 2541",77862.58973545319
Katoomba to Katoomba,Katoomba - South Leura,In,Regular,695,695-82,OSMBSC008,Blue Mountains Trans,OSMBSC Contract 8,12.67,jodie.mallia@cdcbus.com.au,0411 196 865,,,"25 Great Western Highway, VALLEY HEIGHTS, NSW, 2777",15260.280943312639
"Concord Oval, Parramatta Rd - The Domain",Burwood Plaza - The Domain,In,Regular,461X,461X-103,SBSC006,Transit Systems West,SBSC Contract 6,11.86,smerrill@transitsystems.com.au,0490120372,,,"230 - 240 Balmain Road, LEICHHARDT, NSW, 2040",14296.391504402123
Wyalong & West Wyalong Schools to Marsden Rest Area,Marsden Rest Area to Wyalong & West Wyalong Schools,Out,School,S871,S871-2,C0787,S A Hetherington Pty Ltd,RRPBC C0787,44.74,hethos1@bigpond.com,0427 720 199,02 69720199,(02) 6972 0199,"64 Bellarwi Road, WEST WYALONG, NSW, 2671",53956.9239881766
Macquarie University to Mona Vale,Mona Vale to Macquarie University via Gordon,Out,Regular,197,197-19,GSBC014,CDC NSW R14,GSBC Contract 14,31.3,fcl.buses@cdc.com.au,0450 900 176,02 9450 2277,,"29 Prosperity Street,, TRUGANINA, VIC, 3029",37715.502209502476
Koala Bus - Ballina to Wollongbar Public via Lismore,Koala Bus - St John's College to Ballina via Lismore,In,School,S514,S514-1,M0823,Ballina Buslines,RRBSC M0823,74.58,info@buslinesgroup.com.au,02 9747 7000,,,"1 Burwood Rd, BURWOOD, NSW, 2134",85039.91538271235
Woy Woy Stn to Woy Woy Stn,WoyWoy&Umina viaTrafalgarAv-Ext.PearlBeach&Patonga,In,Regular,54,54-76,OMBSC006,Busways OMR6,OMBSC Contract 6,24.14,infoline@busways.com.au,0438537984,,,"Level 1, 5 Bridge St, PYMBLE, NSW, 2073",29030.00880149243
Gundagai Schools to Nangus,Nangus to Gundagai Schools,Out,School,S241,S241-2,C0427,Makeham's Coaches,RRPBC C0427,36.17,annettemakeham@bigpond.com,0419 637 376,0269719255,0269447208,"27 Lake Albert Road, WAGGA WAGGA, NSW, 2650",44251.21784613405
